[[8.582148437322314, 10.111050202210032], [2.471359738763417, 2.269071503728117]]
[[8.671301123614086, 9.939952761812343], [2.932788896379149, 1.988449171136761]]
[[8.774992002726723, 10.826952609268282], [3.5021608127877695, 1.8224830722423468]]
[[8.941893797337485, 12.325353233773779], [3.982939801396687, 1.8440369774347065]]
[[8.935014372195083, 13.389818033304557], [4.044638188397735, 2.0018760896826975]]
[[8.698898915966419, 13.667951601493355], [3.726628805766068, 2.199142079182869]]
[[8.352673337654108, 12.84355478092782], [3.112835230442128, 2.3756786815185094]]
[[8.202002295641384, 11.343537796372587], [2.5834583550660084, 2.4372636629118767]]
[[8.21875192764926, 9.974123009487261], [2.3689337553801426, 2.3376225781045514]]
[[8.263656224858552, 9.198954626132151], [2.5134469864732996, 2.105161979769939]]
[[8.456922214920004, 8.78087363259902], [3.0777064069145283, 1.7460296901623504]]
[[8.965044738781641, 8.889951914114105], [3.8952041792340006, 1.469513987795166]]
[[9.473544511028479, 9.416863937853888], [4.460535248736622, 1.4076672390707121]]
[[9.597251734064843, 10.154956850892011], [4.525622025692884, 1.5185250288744658]]
[[8.99099416466119, 10.337503663802071], [3.9587676541281436, 1.6747819381799647]]
[[7.870698054411785, 9.685201212844532], [3.076617739238222, 1.7748746990528506]]
[[6.952430581975535, 8.803855033771292], [2.4895096559082397, 1.7655595596200135]]
[[6.250180958317169, 8.12622987010748], [2.245641317092891, 1.6463830673679754]]
[[5.984325575948813, 8.027599108328427], [2.380020032806168, 1.4739942527043883]]
[[6.049108696873591, 8.204783895958256], [2.804392344803042, 1.2513009149749599]]
[[6.36552358119358, 8.373738621492338], [3.2668257776073157, 1.0924833255269617]]
[[6.816528232646617, 8.5832148582135], [3.6616390687090483, 0.9972149410183648]]
[[7.0381427094637345, 8.838424824991902], [3.6739706840799715, 1.0079561544213218]]
[[6.960288955838853, 9.070822790966476], [3.325051753007744, 1.1045478773351967]]
[[6.570548465832298, 9.100078503159304], [2.6676885124202365, 1.2944798873609789]]
[[6.201962941287526, 8.860792686789058], [2.1279624025567, 1.4787357355090816]]
[[6.120477484296433, 8.54228522893095], [1.912322241837128, 1.5760809676669099]]
[[6.428392712879676, 8.202917212689258], [2.0955550634814477, 1.548118791632007]]
[[6.943098514463523, 7.948237925394088], [2.649800809211583, 1.4124964987477426]]
[[7.291935160231745, 7.882339056031031], [3.2339513438900944, 1.2872234532414404]]
[[7.4413554633350785, 8.197247368148435], [3.7252695067732566, 1.2016794358307576]]
[[7.400913324475069, 8.915564086235317], [3.7973469896967167, 1.1967871681284825]]
[[7.276849868384083, 10.053717580031329], [3.4518264992462524, 1.268442147027624]]
[[7.1660244285194965, 10.973760761430878], [2.8711998948422717, 1.397859335533541]]
[[7.15172926054492, 11.162808585444882], [2.3582197488561762, 1.518050532967303]]
[[7.254726843631559, 10.528726648477027], [2.0989131878129292, 1.5425478991392116]]
[[7.33828868554127, 9.559714518570914], [2.111640798457043, 1.4617327227863046]]
[[7.260049909897413, 8.428942446884609], [2.3583885247566263, 1.3082773291706804]]
